20230208	18:04:00	17dd3497-68dd-437e-9a9c-a8a69142ec4a	POST	undefined	/auth
20230208	18:04:44	f11c0197-0703-41da-b473-d56e7cc953e4	POST	undefined	/auth
20230208	18:05:04	0a052c6c-9af8-4065-a48e-0449094848f8	POST	undefined	/auth
20230208	21:09:58	15cb658d-c718-40e6-a70e-aaefc01c6017	POST	undefined	/auth
20230208	21:10:10	bf14939d-0a65-453f-8bb0-8768c1aecc45	GET	undefined	/employees
20230208	21:10:17	dda61c60-3a02-4642-907c-49bf203d267c	POST	undefined	/employees
20230208	21:10:20	ebef1c2f-3b8f-4732-863e-f31befaaf945	POST	undefined	/auth
20230208	21:10:29	ff21c38b-84bc-4394-a1d7-0c19647628b5	POST	undefined	/employees
20230208	21:10:31	59ec8ef7-2f57-4439-991f-8b0e9a28b477	GET	undefined	/employees
20230208	21:11:23	0b7d0814-86ba-4b94-adbe-ec9ba46f7dce	POST	undefined	/auth
20230208	21:11:30	e44423ae-3afb-4ba7-9923-f40fff7a13a1	GET	undefined	/employees
20230208	21:11:40	972cdeb3-1b1f-4f56-90ec-74ef6da434a1	POST	undefined	/employees
20230208	21:11:59	4d5d8ede-66cc-47fb-98e9-6b41abef60fd	POST	undefined	/employees
20230208	21:12:39	6e10e6d6-547f-47f8-8358-b8cccc265f4d	POST	undefined	/auth
20230208	21:12:52	9b7b5cb3-ee6f-4e3c-93e9-01af2481e734	DELETE	undefined	/employees
20230208	21:12:56	9ceae6aa-139e-41e7-9399-ee6a607e4c41	DELETE	undefined	/employees
20230208	21:13:41	55d0a852-b519-4a1d-8481-0f8fdfe9b35d	POST	undefined	/auth
20230208	21:13:57	829674fe-a26b-485f-a4b6-f7a484a789b0	DELETE	undefined	/employees
20230208	21:14:06	bf1c0ace-5f43-4006-ab6f-7b5fd5edebd8	POST	undefined	/auth
20230208	21:14:17	1ad6b980-0fe8-445a-a781-d2ead3358438	POST	undefined	/employees
20230208	21:14:25	1c891837-a07c-4d21-b38c-1dd80c6729b4	DELETE	undefined	/employees
